2025-08-29 11:17:40,416 [INFO] Starting video processing... Press 'q' to quit. 
2025-08-29 11:17:40,416 [INFO] Saving processed video to output\pose_estimation.avi
2025-08-29 11:17:40,490 [INFO] Marker ID 62 - rvec: [-0.62898486  2.78301624  0.20388288], tvec: [-0.1283418   0.0497154   0.67113096]
2025-08-29 11:17:40,491 [INFO] Marker ID 203 - rvec: [-2.78009645 -0.62632833 -0.29193184], tvec: [-0.11118    -0.01151191  0.68829996]
2025-08-29 11:17:40,492 [INFO] Marker ID 23 - rvec: [-3.39460542 -0.6987288   0.06174685], tvec: [-0.0708186   0.03584204  0.7093656 ]
2025-08-29 11:17:40,493 [INFO] Marker ID 40 - rvec: [ 2.65434284  0.54383038 -0.16467735], tvec: [-0.08047907  0.11985819  0.70364256]
2025-08-29 11:17:40,493 [INFO] Marker ID 98 - rvec: [ 2.75254279  0.56206105 -0.25576579], tvec: [-0.03700225  0.10874261  0.73500709]
2025-08-29 11:17:40,494 [INFO] Marker ID 124 - rvec: [-1.72530601 -2.71672088 -0.44749303], tvec: [-0.01594429  0.04085031  0.73607024]
2025-08-29 11:17:40,589 [INFO] Marker ID 62 - rvec: [ 0.58409356 -2.99076491  0.63701013], tvec: [-0.12823746  0.04978652  0.67123091]
2025-08-29 11:17:40,589 [INFO] Marker ID 203 - rvec: [ 2.90600337  0.60223262 -0.03141712], tvec: [-0.11080065 -0.01185347  0.68677424]
2025-08-29 11:17:40,589 [INFO] Marker ID 23 - rvec: [ 2.76580868  0.58164806 -0.1494759 ], tvec: [-0.07068302  0.03584671  0.70946645]
2025-08-29 11:17:40,589 [INFO] Marker ID 40 - rvec: [-2.9675294  -0.674352   -0.51032231], tvec: [-0.08103131  0.12105031  0.71021877]
2025-08-29 11:17:40,589 [INFO] Marker ID 124 - rvec: [1.65733434 2.57231715 0.32482877], tvec: [-0.01588623  0.0410859   0.74038187]
2025-08-29 11:17:40,589 [INFO] Marker ID 98 - rvec: [ 2.67809739  0.54023024 -0.24492032], tvec: [-0.03711345  0.10890869  0.73729011]
2025-08-29 11:17:40,641 [INFO] Marker ID 203 - rvec: [3.05135545 0.66619275 0.27730215], tvec: [-0.11379706 -0.01245553  0.7054916 ]
2025-08-29 11:17:40,641 [INFO] Marker ID 62 - rvec: [ 0.7477707  -3.34347145 -0.36852544], tvec: [-0.13058029  0.05064785  0.68363895]
2025-08-29 11:17:40,641 [INFO] Marker ID 40 - rvec: [3.17459428 0.7290228  0.55448922], tvec: [-0.0798599   0.1186221   0.69862726]
2025-08-29 11:17:40,641 [INFO] Marker ID 23 - rvec: [-2.86150118 -0.62299616 -0.28639037], tvec: [-0.07207208  0.03648029  0.72365937]
2025-08-29 11:17:40,641 [INFO] Marker ID 124 - rvec: [-1.64005649 -2.58160656  0.35312009], tvec: [-0.01608814  0.04071634  0.74024079]
2025-08-29 11:17:40,657 [INFO] Marker ID 98 - rvec: [ 2.67601012  0.51702157 -0.34060244], tvec: [-0.03667464  0.10743496  0.72841373]
2025-08-29 11:17:40,711 [INFO] Marker ID 62 - rvec: [ 0.59281394 -3.07989027  0.57221061], tvec: [-0.13131163  0.0501595   0.68419784]
2025-08-29 11:17:40,711 [INFO] Marker ID 203 - rvec: [-3.00388225 -0.66382864 -0.16534119], tvec: [-0.11417961 -0.0125924   0.70489245]
2025-08-29 11:17:40,711 [INFO] Marker ID 23 - rvec: [ 2.69307535  0.54326999 -0.07066733], tvec: [-0.07106667  0.0350319   0.70877789]
2025-08-29 11:17:40,711 [INFO] Marker ID 40 - rvec: [-3.48310252 -0.66799366  0.33785061], tvec: [-0.08171004  0.12005012  0.71031758]
2025-08-29 11:17:40,711 [INFO] Marker ID 124 - rvec: [-1.74930599 -2.71826462  0.36489165], tvec: [-0.0167053   0.04060169  0.74722859]
2025-08-29 11:17:40,711 [INFO] Marker ID 98 - rvec: [-3.38033277 -0.61782207  0.54865308], tvec: [-0.03722483  0.1071506   0.7297162 ]
2025-08-29 11:17:40,758 [INFO] Marker ID 62 - rvec: [-0.6500867   2.79570205  0.33722484], tvec: [-0.12915103  0.04892357  0.67223222]
2025-08-29 11:17:40,758 [INFO] Marker ID 203 - rvec: [2.68797733 0.54730301 0.16888211], tvec: [-0.10967046 -0.0126965   0.67439344]
2025-08-29 11:17:40,758 [INFO] Marker ID 23 - rvec: [ 2.83705272  0.58464082 -0.00425155], tvec: [-0.07307143  0.03533542  0.72407706]
2025-08-29 11:17:40,758 [INFO] Marker ID 40 - rvec: [ 2.58134261  0.49934403 -0.09240265], tvec: [-0.08300434  0.12096429  0.71762999]
2025-08-29 11:17:40,758 [INFO] Marker ID 98 - rvec: [3.12689908 0.67811879 0.44812106], tvec: [-0.03730064  0.10667719  0.72932238]
2025-08-29 11:17:40,758 [INFO] Marker ID 124 - rvec: [-1.76800206 -2.73044012  0.50985468], tvec: [-0.01733617  0.04006316  0.74648634]
2025-08-29 11:17:40,811 [INFO] Marker ID 62 - rvec: [-0.62222441  2.72008336  0.36880292], tvec: [-0.12932497  0.04848123  0.6700921 ]
2025-08-29 11:17:40,811 [INFO] Marker ID 203 - rvec: [3.25365953 0.7646698  0.25976501], tvec: [-0.1129694  -0.01311129  0.69271084]
2025-08-29 11:17:40,811 [INFO] Marker ID 23 - rvec: [-2.85983172 -0.62294201 -0.2892838 ], tvec: [-0.07332743  0.03521913  0.72362728]
2025-08-29 11:17:40,811 [INFO] Marker ID 40 - rvec: [-2.85874924 -0.66643563 -0.42929885], tvec: [-0.0817175   0.11846192  0.70407544]
2025-08-29 11:17:40,811 [INFO] Marker ID 98 - rvec: [3.0604467  0.67761089 0.32563307], tvec: [-0.03830441  0.10736366  0.73629732]
2025-08-29 11:17:40,811 [INFO] Marker ID 124 - rvec: [-1.68501539 -2.64119136  0.44979446], tvec: [-0.01749128  0.03986956  0.74570345]
2025-08-29 11:17:40,858 [INFO] Marker ID 203 - rvec: [3.06343844 0.68042194 0.11620487], tvec: [-0.11326917 -0.01340871  0.6907751 ]
2025-08-29 11:17:40,858 [INFO] Marker ID 62 - rvec: [-0.62228321  2.71923277  0.36850339], tvec: [-0.12990856  0.04848059  0.67002261]
2025-08-29 11:17:40,858 [INFO] Marker ID 23 - rvec: [ 2.77467275  0.55344101 -0.13473765], tvec: [-0.07184849  0.03389793  0.70426128]
2025-08-29 11:17:40,874 [INFO] Marker ID 40 - rvec: [ 2.6633358   0.5046434  -0.15972473], tvec: [-0.08304926  0.11980381  0.71254574]
2025-08-29 11:17:40,874 [INFO] Marker ID 98 - rvec: [ 2.67968133  0.55280139 -0.2310379 ], tvec: [-0.03777411  0.10527676  0.72239893]
2025-08-29 11:17:40,876 [INFO] Marker ID 124 - rvec: [1.71251435 2.67398808 0.37831271], tvec: [-0.01798847  0.03985826  0.74737572]
2025-08-29 11:17:40,913 [INFO] Marker ID 62 - rvec: [ 0.58178479 -3.04165205  0.79234082], tvec: [-0.13024103  0.04893716  0.67164741]
2025-08-29 11:17:40,913 [INFO] Marker ID 203 - rvec: [-2.77837512 -0.62654654 -0.29594755], tvec: [-0.11297474 -0.01271479  0.68812582]
2025-08-29 11:17:40,913 [INFO] Marker ID 23 - rvec: [3.33268306 0.72021685 0.2971637 ], tvec: [-0.07206648  0.03432795  0.70506815]
2025-08-29 11:17:40,913 [INFO] Marker ID 40 - rvec: [ 2.54080048  0.49999085 -0.18522548], tvec: [-0.08236871  0.11867656  0.70403881]
2025-08-29 11:17:40,913 [INFO] Marker ID 98 - rvec: [ 2.66593859  0.53030718 -0.13201626], tvec: [-0.03882628  0.10750307  0.73654876]
2025-08-29 11:17:40,913 [INFO] Marker ID 124 - rvec: [-1.64326009 -2.4910905   0.56615434], tvec: [-0.01801326  0.03920662  0.73329603]
2025-08-29 11:17:40,958 [INFO] Marker ID 62 - rvec: [ 0.59220263 -3.01836174  0.54132104], tvec: [-0.13297696  0.04956347  0.68411762]
2025-08-29 11:17:40,958 [INFO] Marker ID 203 - rvec: [2.80542566 0.57854223 0.05997386], tvec: [-0.11403553 -0.01316356  0.6917571 ]
2025-08-29 11:17:40,958 [INFO] Marker ID 40 - rvec: [3.1438834  0.73371727 0.44857421], tvec: [-0.08237645  0.11867306  0.70439635]
2025-08-29 11:17:40,958 [INFO] Marker ID 23 - rvec: [-3.29235009 -0.69145297  0.1780639 ], tvec: [-0.07435321  0.03526624  0.72259254]
2025-08-29 11:17:40,958 [INFO] Marker ID 124 - rvec: [ 1.64760196  2.50849694 -0.52109399], tvec: [-0.01818236  0.03929207  0.74112526]
2025-08-29 11:17:40,958 [INFO] Marker ID 98 - rvec: [ 2.67958993  0.54018957 -0.24103011], tvec: [-0.0390379   0.10761924  0.73733379]
2025-08-29 11:17:41,011 [INFO] Marker ID 62 - rvec: [ 0.59220263 -3.01836174  0.54132104], tvec: [-0.13297696  0.04956347  0.68411762]
2025-08-29 11:17:41,011 [INFO] Marker ID 203 - rvec: [2.77291377 0.55389344 0.1680119 ], tvec: [-0.11326715 -0.0133966   0.68808134]
2025-08-29 11:17:41,011 [INFO] Marker ID 23 - rvec: [3.13322778 0.66865893 0.44197976], tvec: [-0.07362776  0.0345976   0.71746589]
2025-08-29 11:17:41,011 [INFO] Marker ID 40 - rvec: [ 2.64442592  0.51355433 -0.33171097], tvec: [-0.0830012   0.11882039  0.70667716]
2025-08-29 11:17:41,011 [INFO] Marker ID 98 - rvec: [-3.12105193 -0.70023195 -0.38481869], tvec: [-0.03860045  0.10626269  0.72990637]
2025-08-29 11:17:41,011 [INFO] Marker ID 124 - rvec: [-1.7465555  -2.65892201  0.55057262], tvec: [-0.01851048  0.03930661  0.74138278]
2025-08-29 11:17:41,063 [INFO] Marker ID 203 - rvec: [2.77291377 0.55389344 0.1680119 ], tvec: [-0.11326715 -0.0133966   0.68808134]
2025-08-29 11:17:41,063 [INFO] Marker ID 62 - rvec: [-0.55694379  2.98542878 -0.66071302], tvec: [-0.13268377  0.04935516  0.68344737]
2025-08-29 11:17:41,063 [INFO] Marker ID 23 - rvec: [3.13322778 0.66865893 0.44197976], tvec: [-0.07362776  0.0345976   0.71746589]
2025-08-29 11:17:41,063 [INFO] Marker ID 40 - rvec: [ 2.60094989  0.48952646 -0.2434849 ], tvec: [-0.08347988  0.11958061  0.71217771]
2025-08-29 11:17:41,063 [INFO] Marker ID 98 - rvec: [3.12693877 0.67839686 0.45117904], tvec: [-0.03856965  0.10603947  0.7293347 ]
